"","id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15","sqmt_living","sqmt_living15","sqmt_lot","sqmt_lot15","sqmt_above","sqmt_basement"
"1","7129300520",2014-10-13,221900,3,1,1180,5650,1,FALSE,0,"3","7",1180,0,1955,0,"98178",47.5112,-122.257,1340,5650,109.62554,124.49002,524.90195,524.90195,109.62554,0
"2","6414100192",2014-12-09,538000,3,2.25,2570,7242,2,FALSE,0,"3","7",2170,400,1951,1991,"98125",47.721,-122.319,1690,7639,238.76071,157.00607,672.803526,709.686017,201.59951,37.1612
"3","5631500400",2015-02-25,180000,2,1,770,10000,1,FALSE,0,"3","6",770,0,1933,0,"98028",47.7379,-122.233,2720,8062,71.53531,252.69616,929.03,748.983986,71.53531,0
"4","2487200875",2014-12-09,604000,4,3,1960,5000,1,FALSE,0,"5","7",1050,910,1965,0,"98136",47.5208,-122.393,1360,5000,182.08988,126.34808,464.515,464.515,97.54815,84.54173
"5","1954400510",2015-02-18,510000,3,2,1680,8080,1,FALSE,0,"3","8",1680,0,1987,0,"98074",47.6168,-122.045,1800,7503,156.07704,167.2254,750.65624,697.051209,156.07704,0
"6","7237550310",2014-05-12,1225000,4,4.5,5420,101930,1,FALSE,0,"3","11",3890,1530,2001,0,"98053",47.6561,-122.005,4760,101930,503.53426,442.21828,9469.60279,9469.60279,361.39267,142.14159
"7","1321400060",2014-06-27,257500,3,2.25,1715,6819,2,FALSE,0,"3","7",1715,0,1995,0,"98003",47.3097,-122.327,2238,6819,159.328645,207.916914,633.505557,633.505557,159.328645,0
"8","2008000270",2015-01-15,291850,3,1.5,1060,9711,1,FALSE,0,"3","7",1060,0,1963,0,"98198",47.4095,-122.315,1650,9711,98.47718,153.28995,902.181033,902.181033,98.47718,0
"9","2414600126",2015-04-15,229500,3,1,1780,7470,1,FALSE,0,"3","7",1050,730,1960,0,"98146",47.5123,-122.337,1780,8113,165.36734,165.36734,693.98541,753.722039,97.54815,67.81919
"10","3793500160",2015-03-12,323000,3,2.5,1890,6560,2,FALSE,0,"3","7",1890,0,2003,0,"98038",47.3684,-122.031,2390,7570,175.58667,222.03817,609.44368,703.27571,175.58667,0
"11","1736800520",2015-04-03,662500,3,2.5,3560,9796,1,FALSE,0,"3","8",1860,1700,1965,0,"98007",47.6007,-122.145,2210,8925,330.73468,205.31563,910.077788,829.159275,172.79958,157.9351
"12","9212900260",2014-05-27,468000,2,1,1160,6000,1,FALSE,0,"4","7",860,300,1942,0,"98115",47.69,-122.292,1330,6000,107.76748,123.56099,557.418,557.418,79.89658,27.8709
