"","id","date","price","bedrooms","bathrooms","floors","waterfront","view","condition","grade","yr_built","yr_renovated","zipcode","lat","long","sqmt_living","sqmt_living15","sqmt_lot","sqmt_lot15","sqmt_above","sqmt_basement"
"1","7129300520",2014-10-13,221900,3,1,1,FALSE,0,"3","7",1955,0,"98178",47.5112,-122.257,109.62554,124.49002,524.90195,524.90195,109.62554,0
"2","6414100192",2014-12-09,538000,3,2.25,2,FALSE,0,"3","7",1951,1991,"98125",47.721,-122.319,238.76071,157.00607,672.803526,709.686017,201.59951,37.1612
"3","5631500400",2015-02-25,180000,2,1,1,FALSE,0,"3","6",1933,0,"98028",47.7379,-122.233,71.53531,252.69616,929.03,748.983986,71.53531,0
"4","2487200875",2014-12-09,604000,4,3,1,FALSE,0,"5","7",1965,0,"98136",47.5208,-122.393,182.08988,126.34808,464.515,464.515,97.54815,84.54173
"5","1954400510",2015-02-18,510000,3,2,1,FALSE,0,"3","8",1987,0,"98074",47.6168,-122.045,156.07704,167.2254,750.65624,697.051209,156.07704,0
"6","7237550310",2014-05-12,1225000,4,4.5,1,FALSE,0,"3","11",2001,0,"98053",47.6561,-122.005,503.53426,442.21828,9469.60279,9469.60279,361.39267,142.14159
"7","1321400060",2014-06-27,257500,3,2.25,2,FALSE,0,"3","7",1995,0,"98003",47.3097,-122.327,159.328645,207.916914,633.505557,633.505557,159.328645,0
"8","2008000270",2015-01-15,291850,3,1.5,1,FALSE,0,"3","7",1963,0,"98198",47.4095,-122.315,98.47718,153.28995,902.181033,902.181033,98.47718,0
"9","2414600126",2015-04-15,229500,3,1,1,FALSE,0,"3","7",1960,0,"98146",47.5123,-122.337,165.36734,165.36734,693.98541,753.722039,97.54815,67.81919
"10","3793500160",2015-03-12,323000,3,2.5,2,FALSE,0,"3","7",2003,0,"98038",47.3684,-122.031,175.58667,222.03817,609.44368,703.27571,175.58667,0
"11","1736800520",2015-04-03,662500,3,2.5,1,FALSE,0,"3","8",1965,0,"98007",47.6007,-122.145,330.73468,205.31563,910.077788,829.159275,172.79958,157.9351
"12","9212900260",2014-05-27,468000,2,1,1,FALSE,0,"4","7",1942,0,"98115",47.69,-122.292,107.76748,123.56099,557.418,557.418,79.89658,27.8709
"13","0114101516",2014-05-28,310000,3,1,1.5,FALSE,0,"4","7",1927,0,"98028",47.7558,-122.229,132.85129,165.36734,1848.862603,1179.589391,132.85129,0
"14","6054650070",2014-10-07,4e+05,3,1.75,1,FALSE,0,"4","7",1977,0,"98074",47.6127,-122.045,127.27711,127.27711,899.30104,948.353824,127.27711,0
"15","1175000570",2015-03-12,530000,5,2,1.5,FALSE,0,"3","7",1900,0,"98107",47.67,-122.394,168.15443,126.34808,450.57955,450.57955,168.15443,0
"16","9297300055",2015-01-24,650000,4,3,2,FALSE,3,"3","9",1979,0,"98126",47.5714,-122.375,274.06385,198.81242,464.515,371.612,183.94794,90.11591
"17","1875500060",2014-07-31,395000,3,2,2,FALSE,0,"3","7",1994,0,"98019",47.7277,-121.962,175.58667,175.58667,1304.35812,1302.314254,175.58667,0
"18","6865200140",2014-05-29,485000,4,1,1.5,FALSE,0,"4","7",1916,0,"98103",47.6648,-122.343,148.6448,149.57383,399.4829,399.4829,148.6448,0
"19","0016000397",2014-12-05,189000,2,1,1,FALSE,0,"4","7",1921,0,"98002",47.3089,-122.21,111.4836,98.47718,915.09455,473.340785,111.4836,0
"20","7983200060",2015-04-24,230000,3,1,1,FALSE,0,"4","7",1969,0,"98003",47.3343,-122.306,116.12875,118.91584,908.033922,822.19155,116.12875,0
"21","6300500875",2014-05-14,385000,4,1.75,1,FALSE,0,"4","7",1947,0,"98133",47.7025,-122.341,150.50286,130.0642,462.65694,462.65694,79.89658,70.60628
"22","2524049179",2014-08-26,2e+06,3,2.75,1,FALSE,4,"3","9",1968,0,"98040",47.5316,-122.233,283.35415,381.83133,4168.278901,1889.275408,216.46399,66.89016
"23","7137970340",2014-07-03,285000,5,2.5,2,FALSE,0,"3","8",1995,0,"98092",47.3266,-122.169,210.88981,208.10272,585.2889,650.785515,210.88981,0
"24","8091400200",2014-05-16,252700,2,1.5,1,FALSE,0,"3","7",1985,0,"98030",47.3533,-122.166,99.40621,113.34166,895.863629,779.084558,99.40621,0
"25","3814700200",2014-11-20,329000,3,2.25,2,FALSE,0,"4","8",1985,0,"98030",47.3739,-122.172,227.61235,204.3866,603.8695,637.779095,227.61235,0
